dataset,n,m,metodo,tiempo,costo,memoria,vecindad,iteraciones
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 10 300,329.097,15937,160,10,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 15 300,374.962,16186,160,15,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 20 300,409.181,15996,160,20,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 25 300,436.983,16384,160,25,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 30 300,348.479,16314,160,30,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 35 300,380.096,16283,160,35,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 40 300,410.666,16257,160,40,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 45 300,443.825,16328,160,45,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 50 300,488.285,16363,160,50,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 55 300,508.605,16419,160,55,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 60 300,534.94,16387,160,60,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 65 300,566.849,16377,160,65,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 70 300,594.521,16295,160,70,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 75 300,641.008,16295,160,75,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 80 300,649.592,16295,160,80,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 85 300,738.151,16261,160,85,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 90 300,771.664,16316,160,90,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 95 300,807.44,16316,160,95,300
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 100 300,829.442,16316,160,100,300
sol_optimas,280,39060.0,TABU_CICLOS 160 5 300,853.691,2784,160,5,300
sol_optimas,280,39060.0,TABU_CICLOS 160 10 300,1482.91,2753,160,10,300
sol_optimas,280,39060.0,TABU_CICLOS 160 15 300,2402.13,2828,160,15,300
sol_optimas,280,39060.0,TABU_CICLOS 160 20 300,2646.16,2765,160,20,300
sol_optimas,280,39060.0,TABU_CICLOS 160 25 300,3733.69,2770,160,25,300
sol_optimas,280,39060.0,TABU_CICLOS 160 30 300,4365.67,2781,160,30,300
sol_optimas,280,39060.0,TABU_CICLOS 160 35 300,5096.83,2778,160,35,300
sol_optimas,280,39060.0,TABU_CICLOS 160 40 300,5039.35,2764,160,40,300
sol_optimas,280,39060.0,TABU_CICLOS 160 45 300,6078.5,2763,160,45,300
sol_optimas,280,39060.0,TABU_CICLOS 160 50 300,8033.22,2776,160,50,300
sol_optimas,280,39060.0,TABU_CICLOS 160 55 300,8289.03,2798,160,55,300
sol_optimas,280,39060.0,TABU_CICLOS 160 60 300,9698.24,2791,160,60,300
sol_optimas,280,39060.0,TABU_CICLOS 160 65 300,10693.7,2784,160,65,300
sol_optimas,280,39060.0,TABU_CICLOS 160 70 300,11231.1,2784,160,70,300
sol_optimas,280,39060.0,TABU_CICLOS 160 75 300,11871.5,2779,160,75,300
sol_optimas,280,39060.0,TABU_CICLOS 160 80 300,11209.8,2774,160,80,300
sol_optimas,280,39060.0,TABU_CICLOS 160 85 300,11864.9,2774,160,85,300
sol_optimas,280,39060.0,TABU_CICLOS 160 90 300,14868.7,2777,160,90,300
sol_optimas,280,39060.0,TABU_CICLOS 160 95 300,16848.9,2777,160,95,300
sol_optimas,280,39060.0,TABU_CICLOS 160 100 300,13529.1,2715,160,100,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 5 300,383.443,2828,160,5,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 10 300,436.528,2810,160,10,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 15 300,496.462,2840,160,15,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 20 300,555.962,2783,160,20,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 25 300,615.789,2789,160,25,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 30 300,678.87,2797,160,30,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 35 300,735.285,2792,160,35,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 40 300,788.419,2782,160,40,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 45 300,857.52,2784,160,45,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 50 300,921.468,2782,160,50,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 55 300,965.441,2799,160,55,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 60 300,1027.3,2794,160,60,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 65 300,1093.16,2777,160,65,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 70 300,1152.88,2777,160,70,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 75 300,1200.85,2779,160,75,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 80 300,1256.48,2779,160,80,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 85 300,1450.66,2779,160,85,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 90 300,1516.06,2777,160,90,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 95 300,1584.81,2777,160,95,300
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 100 300,1621.56,2734,160,100,300
sol_optimas,318,50403.0,TABU_CICLOS 160 5 300,1182.06,45164,160,5,300
sol_optimas,318,50403.0,TABU_CICLOS 160 10 300,1703.42,44216,160,10,300
sol_optimas,318,50403.0,TABU_CICLOS 160 15 300,2882.52,44615,160,15,300
sol_optimas,318,50403.0,TABU_CICLOS 160 20 300,3442.32,44002,160,20,300
sol_optimas,318,50403.0,TABU_CICLOS 160 25 300,5848.22,44282,160,25,300
sol_optimas,318,50403.0,TABU_CICLOS 160 30 300,5610.56,44164,160,30,300
sol_optimas,318,50403.0,TABU_CICLOS 160 35 300,6704.65,44273,160,35,300
sol_optimas,318,50403.0,TABU_CICLOS 160 40 300,9116.07,44456,160,40,300
sol_optimas,318,50403.0,TABU_CICLOS 160 45 300,10634.6,44576,160,45,300
sol_optimas,318,50403.0,TABU_CICLOS 160 50 300,12404.1,43873,160,50,300
sol_optimas,318,50403.0,TABU_CICLOS 160 55 300,12224.2,44680,160,55,300
sol_optimas,318,50403.0,TABU_CICLOS 160 60 300,13088.8,44188,160,60,300
sol_optimas,318,50403.0,TABU_CICLOS 160 65 300,13842.5,44089,160,65,300
sol_optimas,318,50403.0,TABU_CICLOS 160 70 300,16346.4,44188,160,70,300
sol_optimas,318,50403.0,TABU_CICLOS 160 75 300,17083.9,44188,160,75,300
sol_optimas,318,50403.0,TABU_CICLOS 160 80 300,19252.8,43816,160,80,300
sol_optimas,318,50403.0,TABU_CICLOS 160 85 300,20035.7,43816,160,85,300
sol_optimas,318,50403.0,TABU_CICLOS 160 90 300,21837.1,43816,160,90,300
sol_optimas,318,50403.0,TABU_CICLOS 160 95 300,23470.8,43816,160,95,300
sol_optimas,318,50403.0,TABU_CICLOS 160 100 300,24434.4,43816,160,100,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 5 300,482.291,45652,160,5,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 10 300,563.212,44313,160,10,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 15 300,634.802,44740,160,15,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 20 300,709.921,43996,160,20,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 25 300,782.667,44406,160,25,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 30 300,857.336,44177,160,30,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 35 300,937.742,44494,160,35,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 40 300,1006.89,44580,160,40,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 45 300,1082.05,44507,160,45,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 50 300,1162.41,43873,160,50,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 55 300,1232.73,44680,160,55,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 60 300,1311.75,44188,160,60,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 65 300,1390.51,44188,160,65,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 70 300,1582.08,44188,160,70,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 75 300,1669.8,44188,160,75,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 80 300,1738.12,43816,160,80,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 85 300,1813.57,43816,160,85,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 90 300,1933.74,43816,160,90,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 95 300,2014.89,43816,160,95,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 100 300,2035.98,43816,160,100,300
sol_optimas,439,96141.0,TABU_CICLOS 160 5 300,2006.43,116521,160,5,300
sol_optimas,439,96141.0,TABU_CICLOS 160 10 300,3604.55,116905,160,10,300
sol_optimas,439,96141.0,TABU_CICLOS 160 15 300,5320.56,117701,160,15,300
sol_optimas,439,96141.0,TABU_CICLOS 160 20 300,7759.3,116001,160,20,300
sol_optimas,439,96141.0,TABU_CICLOS 160 25 300,10910.3,115098,160,25,300
sol_optimas,439,96141.0,TABU_CICLOS 160 30 300,13476.2,116802,160,30,300
sol_optimas,439,96141.0,TABU_CICLOS 160 35 300,15246.4,113603,160,35,300
sol_optimas,439,96141.0,TABU_CICLOS 160 40 300,20271.1,114830,160,40,300
sol_optimas,439,96141.0,TABU_CICLOS 160 45 300,16552.7,117633,160,45,300
sol_optimas,439,96141.0,TABU_CICLOS 160 50 300,23097.2,117253,160,50,300
sol_optimas,439,96141.0,TABU_CICLOS 160 55 300,28134.3,117063,160,55,300
sol_optimas,439,96141.0,TABU_CICLOS 160 60 300,27973.9,117367,160,60,300
sol_optimas,439,96141.0,TABU_CICLOS 160 65 300,29491.8,117367,160,65,300
sol_optimas,439,96141.0,TABU_CICLOS 160 70 300,33312.2,115228,160,70,300
sol_optimas,439,96141.0,TABU_CICLOS 160 75 300,37107.1,115736,160,75,300
sol_optimas,439,96141.0,TABU_CICLOS 160 80 300,27878.9,117308,160,80,300
sol_optimas,439,96141.0,TABU_CICLOS 160 85 300,37163.4,117274,160,85,300
sol_optimas,439,96141.0,TABU_CICLOS 160 90 300,40664.7,117274,160,90,300
sol_optimas,439,96141.0,TABU_CICLOS 160 95 300,40720.9,117274,160,95,300
sol_optimas,439,96141.0,TABU_CICLOS 160 100 300,44345.3,117274,160,100,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 5 300,937.371,116404,160,5,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 10 300,1071.24,118354,160,10,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 15 300,1238.98,118302,160,15,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 20 300,1366.01,116785,160,20,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 25 300,1488.38,115411,160,25,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 30 300,1621.32,117125,160,30,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 35 300,1827.85,113879,160,35,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 40 300,1953.9,115106,160,40,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 45 300,2102.38,117917,160,45,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 50 300,2200.87,117480,160,50,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 55 300,2382.03,117290,160,55,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 60 300,2460.85,117594,160,60,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 65 300,2637.02,117594,160,65,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 70 300,3004.76,115411,160,70,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 75 300,3158.91,115914,160,75,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 80 300,3295.67,117535,160,80,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 85 300,3449.86,117501,160,85,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 90 300,3649.75,117501,160,90,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 95 300,3754.68,117501,160,95,300
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 100 300,3886.56,117501,160,100,300
sol_optimas,225,25200.0,TABU_CICLOS 160 5 300,479.758,4129,160,5,300
sol_optimas,225,25200.0,TABU_CICLOS 160 10 300,790.948,4041,160,10,300
sol_optimas,225,25200.0,TABU_CICLOS 160 15 300,1188.04,4089,160,15,300
sol_optimas,225,25200.0,TABU_CICLOS 160 20 300,1404.93,3947,160,20,300
sol_optimas,225,25200.0,TABU_CICLOS 160 25 300,2054.95,4057,160,25,300
