dataset,n,m,metodo,tiempo,costo,tp
sol_optimas,130,8385.0,TABU_ESTRUCTURA 160 25 300,168.933,6604,TSP_AGM
sol_optimas,136,9180.0,TABU_CICLOS 160 25 300,683.217,100778,TSP_AGM
sol_optimas,136,9180.0,TABU_ESTRUCTURA 160 25 300,173.679,101845,TSP_AGM
sol_optimas,280,39060.0,TABU_CICLOS 160 25 300,3635.24,2770,TSP_AGM
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 25 300,640.855,2789,TSP_AGM
sol_optimas,51,1275.0,TABU_CICLOS 160 25 300,69.5079,438,TSP_AGM
sol_optimas,51,1275.0,TABU_ESTRUCTURA 160 25 300,26.6475,440,TSP_AGM
sol_optimas,105,5460.0,TABU_CICLOS 160 25 300,386.136,15168,TSP_AGM
sol_optimas,105,5460.0,TABU_ESTRUCTURA 160 25 300,102.447,15182,TSP_AGM
sol_optimas,195,18915.0,TABU_CICLOS 160 25 300,1421.68,2445,TSP_AGM
sol_optimas,195,18915.0,TABU_ESTRUCTURA 160 25 300,322.175,2474,TSP_AGM
sol_optimas,262,34191.0,TABU_CICLOS 160 25 300,2815.29,2527,TSP_AGM
sol_optimas,262,34191.0,TABU_ESTRUCTURA 160 25 300,569.663,2530,TSP_AGM
sol_optimas,657,215496.0,TABU_CICLOS 160 25 300,19327.8,51622,TSP_AGM
sol_optimas,657,215496.0,TABU_ESTRUCTURA 160 25 300,3582.7,51756,TSP_AGM
sol_optimas,29,406.0,TABU_CICLOS 160 25 300,22.9209,1638,TSP_AGM
sol_optimas,29,406.0,TABU_ESTRUCTURA 160 25 300,9.74927,1650,TSP_AGM
sol_optimas,431,92665.0,TABU_CICLOS 160 25 300,9347.78,181673,TSP_AGM
sol_optimas,431,92665.0,TABU_ESTRUCTURA 160 25 300,1481.47,181821,TSP_AGM
sol_optimas,417,86736.0,TABU_CICLOS 160 25 300,8196.38,12471,TSP_AGM
sol_optimas,417,86736.0,TABU_ESTRUCTURA 160 25 300,1402.29,12479,TSP_AGM
sol_optimas,299,44551.0,TABU_CICLOS 160 25 300,3933.48,50063,TSP_AGM
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 25 300,721.067,50168,TSP_AGM
sol_optimas,1002,501501.0,TABU_CICLOS 160 25 300,60444.9,273971,TSP_AGM
sol_optimas,1002,501501.0,TABU_ESTRUCTURA 160 25 300,9565.02,274048,TSP_AGM
sol_optimas,225,25200.0,TABU_CICLOS 160 25 300,2068.19,4057,TSP_AGM
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 25 300,417.223,4063,TSP_AGM
sol_optimas,16,120.0,TABU_CICLOS 160 25 300,5.96668,6859,TSP_AGM
sol_optimas,16,120.0,TABU_ESTRUCTURA 160 25 300,2.67058,6859,TSP_AGM
sol_optimas,101,5050.0,TABU_CICLOS 160 25 300,327.03,643,TSP_AGM
sol_optimas,101,5050.0,TABU_ESTRUCTURA 160 25 300,95.6039,654,TSP_AGM
sol_optimas,1084,586986.0,TABU_CICLOS 160 25 300,87319.5,251120,TSP_AGM
sol_optimas,1084,586986.0,TABU_ESTRUCTURA 160 25 300,11826.0,251315,TSP_AGM
sol_optimas,124,7626.0,TABU_CICLOS 160 25 300,553.112,60801,TSP_AGM
sol_optimas,124,7626.0,TABU_ESTRUCTURA 160 25 300,142.694,61017,TSP_AGM
sol_optimas,52,1326.0,TABU_CICLOS 160 25 300,78.7655,7542,TSP_AGM
sol_optimas,52,1326.0,TABU_ESTRUCTURA 160 25 300,26.2587,7542,TSP_AGM
sol_optimas,198,19503.0,TABU_CICLOS 160 25 300,1421.94,16033,TSP_AGM
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 25 300,331.018,16384,TSP_AGM
sol_optimas,439,96141.0,TABU_CICLOS 160 25 300,10931.6,115098,TSP_AGM
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 25 300,1527.19,115411,TSP_AGM
sol_optimas,70,2415.0,TABU_CICLOS 160 25 300,136.192,683,TSP_AGM
sol_optimas,70,2415.0,TABU_ESTRUCTURA 160 25 300,47.9102,687,TSP_AGM
sol_optimas,442,97461.0,TABU_CICLOS 160 25 300,7294.51,53980,TSP_AGM
sol_optimas,442,97461.0,TABU_ESTRUCTURA 160 25 300,1551.81,54387,TSP_AGM
sol_optimas,96,4560.0,TABU_CICLOS 160 25 300,334.845,57690,TSP_AGM
sol_optimas,96,4560.0,TABU_ESTRUCTURA 160 25 300,86.072,57891,TSP_AGM
sol_optimas,783,306153.0,TABU_CICLOS 160 25 300,35939.4,9306,TSP_AGM
sol_optimas,783,306153.0,TABU_ESTRUCTURA 160 25 300,5396.7,9318,TSP_AGM
sol_optimas,120,7140.0,TABU_CICLOS 160 25 300,447.192,7244,TSP_AGM
sol_optimas,120,7140.0,TABU_ESTRUCTURA 160 25 300,127.411,7261,TSP_AGM
sol_optimas,226,25425.0,TABU_CICLOS 160 25 300,2065.79,85357,TSP_AGM
sol_optimas,226,25425.0,TABU_ESTRUCTURA 160 25 300,421.32,85762,TSP_AGM
sol_optimas,400,79800.0,TABU_CICLOS 160 25 300,7472.57,16222,TSP_AGM
sol_optimas,400,79800.0,TABU_ESTRUCTURA 160 25 300,1288.87,16222,TSP_AGM
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,354.876,22378,TSP_AGM
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,93.3244,22299,TSP_AGM
sol_optimas,535,142845.0,TABU_CICLOS 160 25 300,11370.2,214307,TSP_AGM
sol_optimas,535,142845.0,TABU_ESTRUCTURA 160 25 300,2365.35,214307,TSP_AGM
sol_optimas,318,50403.0,TABU_CICLOS 160 25 300,5790.37,44282,TSP_AGM
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 25 300,807.039,44406,TSP_AGM
sol_optimas,575,165025.0,TABU_CICLOS 160 25 300,23619.2,7039,TSP_AGM
sol_optimas,575,165025.0,TABU_ESTRUCTURA 160 25 300,2754.93,7058,TSP_AGM
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,365.057,23085,TSP_AGM
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,93.0125,23114,TSP_AGM
sol_optimas,48,1128.0,TABU_CICLOS 160 25 300,66.9806,10863,TSP_AGM
