dataset,n,m,metodo,tiempo,costo
grafo-propio,38,703.0,GA,2.36688,382
grafo-propio,39,741.0,INS,0.2105284,1977
grafo-propio,39,741.0,AGM,0.1564602,825
grafo-propio,39,741.0,GA,2.448572,349
grafo-propio,40,780.0,INS,0.2219108,1658
grafo-propio,40,780.0,AGM,0.1431674,808
grafo-propio,40,780.0,GA,2.41654,293
grafo-propio,41,820.0,INS,0.1600624,1645
grafo-propio,41,820.0,AGM,0.1911026,1078
grafo-propio,41,820.0,GA,2.201036,385
grafo-propio,42,861.0,INS,0.289121,2197
grafo-propio,42,861.0,AGM,0.18707580000000001,1135
grafo-propio,42,861.0,GA,2.620802,360
grafo-propio,43,903.0,INS,0.2320382,1668
grafo-propio,43,903.0,AGM,0.21521660000000004,958
grafo-propio,43,903.0,GA,3.041398,327
grafo-propio,44,946.0,INS,0.26416720000000005,1217
grafo-propio,44,946.0,AGM,0.19384579999999998,982
grafo-propio,44,946.0,GA,4.33723,444
grafo-propio,45,990.0,INS,0.23975020000000002,2665
grafo-propio,45,990.0,AGM,0.2576996,1078
grafo-propio,45,990.0,GA,2.6759399999999998,315
grafo-propio,46,1035.0,INS,0.2335118,1564
grafo-propio,46,1035.0,AGM,0.2268484,1217
grafo-propio,46,1035.0,GA,2.733238,294
grafo-propio,47,1081.0,INS,0.26443,2087
grafo-propio,47,1081.0,AGM,0.2437528,1119
grafo-propio,47,1081.0,GA,3.4785259999999996,300
grafo-propio,48,1128.0,INS,0.3664828,1907
grafo-propio,48,1128.0,AGM,0.2224198,1035
grafo-propio,48,1128.0,GA,3.861694,313
grafo-propio,49,1176.0,INS,0.28926779999999996,2819
grafo-propio,49,1176.0,AGM,0.24913040000000003,1351
grafo-propio,49,1176.0,GA,3.40722,334
grafo-propio,50,1225.0,INS,0.2851532,1645
grafo-propio,50,1225.0,AGM,0.2740878,1315
grafo-propio,50,1225.0,GA,4.126774,352
grafo-propio,51,1275.0,INS,0.36066839999999994,1129
grafo-propio,51,1275.0,AGM,0.268965,890
grafo-propio,51,1275.0,GA,3.8187239999999996,277
grafo-propio,52,1326.0,INS,0.31100039999999995,2302
grafo-propio,52,1326.0,AGM,0.2649254,1504
grafo-propio,52,1326.0,GA,4.282939999999999,294
grafo-propio,53,1378.0,INS,0.35783239999999994,2758
grafo-propio,53,1378.0,AGM,0.250155,1362
grafo-propio,53,1378.0,GA,4.158440000000001,387
grafo-propio,54,1431.0,INS,0.4926576,2930
grafo-propio,54,1431.0,AGM,0.30519680000000005,1521
grafo-propio,54,1431.0,GA,4.61751,284
grafo-propio,55,1485.0,INS,0.4164326,2309
grafo-propio,55,1485.0,AGM,0.28737460000000004,1287
grafo-propio,55,1485.0,GA,6.719105999999999,323
grafo-propio,56,1540.0,INS,0.4683002,2634
grafo-propio,56,1540.0,AGM,0.312201,1056
grafo-propio,56,1540.0,GA,4.9768360000000005,324
grafo-propio,57,1596.0,INS,0.45143559999999994,2043
grafo-propio,57,1596.0,AGM,0.2236986,1401
grafo-propio,57,1596.0,GA,4.226712000000001,405
grafo-propio,58,1653.0,INS,0.475316,3106
grafo-propio,58,1653.0,AGM,0.28485099999999997,990
grafo-propio,58,1653.0,GA,5.671642,296
grafo-propio,59,1711.0,INS,0.39252960000000003,2332
grafo-propio,59,1711.0,AGM,0.3034946,1455
grafo-propio,59,1711.0,GA,5.396763999999999,357
grafo-propio,60,1770.0,INS,0.629527,2245
grafo-propio,60,1770.0,AGM,0.336955,1730
grafo-propio,60,1770.0,GA,6.3214939999999995,433
grafo-propio,61,1830.0,INS,0.49091199999999996,2128
grafo-propio,61,1830.0,AGM,0.31521319999999997,1334
grafo-propio,61,1830.0,GA,7.298183999999999,317
grafo-propio,62,1891.0,INS,0.5216442,2241
grafo-propio,62,1891.0,AGM,0.377937,1449
grafo-propio,62,1891.0,GA,5.05497,329
grafo-propio,63,1953.0,INS,0.5871796,2336
grafo-propio,63,1953.0,AGM,0.3364688,1500
grafo-propio,63,1953.0,GA,7.178206,419
grafo-propio,64,2016.0,INS,0.4458912,3148
grafo-propio,64,2016.0,AGM,0.3663976,1332
grafo-propio,64,2016.0,GA,7.781186,459
grafo-propio,65,2080.0,INS,0.9106076,3290
grafo-propio,65,2080.0,AGM,0.321006,1395
grafo-propio,65,2080.0,GA,5.071136,321
grafo-propio,66,2145.0,INS,0.6527404,2088
grafo-propio,66,2145.0,AGM,0.313438,1485
grafo-propio,66,2145.0,GA,11.227932000000001,365
grafo-propio,67,2211.0,INS,0.7360561999999999,3203
grafo-propio,67,2211.0,AGM,0.3952594,1498
grafo-propio,67,2211.0,GA,9.587822,326
grafo-propio,68,2278.0,INS,0.6893738,2546
grafo-propio,68,2278.0,AGM,0.3994334,1709
grafo-propio,68,2278.0,GA,7.637764,403
grafo-propio,69,2346.0,INS,0.7584186,3653
grafo-propio,69,2346.0,AGM,0.4251557999999999,1584
grafo-propio,69,2346.0,GA,7.282324,276
grafo-propio,70,2415.0,INS,0.6694326,2890
grafo-propio,70,2415.0,AGM,0.4883354,1334
grafo-propio,70,2415.0,GA,7.67997,365
