dataset,n,m,metodo,tiempo,costo,tp
sol_optimas,136,9180.0,TABU_CICLOS 160 25 300,585.825,99249,TSP_INS
sol_optimas,136,9180.0,TABU_ESTRUCTURA 160 25 300,180.68,101760,TSP_INS
sol_optimas,280,39060.0,TABU_CICLOS 160 25 300,3801.98,2779,TSP_INS
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 25 300,767.814,2848,TSP_INS
sol_optimas,51,1275.0,TABU_CICLOS 160 25 300,70.9024,445,TSP_INS
sol_optimas,51,1275.0,TABU_ESTRUCTURA 160 25 300,26.2613,444,TSP_INS
sol_optimas,105,5460.0,TABU_CICLOS 160 25 300,371.786,15545,TSP_INS
sol_optimas,105,5460.0,TABU_ESTRUCTURA 160 25 300,106.667,15347,TSP_INS
sol_optimas,195,18915.0,TABU_CICLOS 160 25 300,1520.71,2556,TSP_INS
sol_optimas,195,18915.0,TABU_ESTRUCTURA 160 25 300,380.129,2592,TSP_INS
sol_optimas,262,34191.0,TABU_CICLOS 160 25 300,3168.82,2615,TSP_INS
sol_optimas,262,34191.0,TABU_ESTRUCTURA 160 25 300,697.614,2633,TSP_INS
sol_optimas,657,215496.0,TABU_CICLOS 160 25 300,19338.2,54643,TSP_INS
sol_optimas,657,215496.0,TABU_ESTRUCTURA 160 25 300,4511.37,54940,TSP_INS
sol_optimas,29,406.0,TABU_CICLOS 160 25 300,27.2545,1618,TSP_INS
sol_optimas,29,406.0,TABU_ESTRUCTURA 160 25 300,9.23418,1643,TSP_INS
sol_optimas,431,92665.0,TABU_CICLOS 160 25 300,7460.29,184470,TSP_INS
sol_optimas,431,92665.0,TABU_ESTRUCTURA 160 25 300,1802.86,184940,TSP_INS
sol_optimas,417,86736.0,TABU_CICLOS 160 25 300,8141.01,12569,TSP_INS
sol_optimas,417,86736.0,TABU_ESTRUCTURA 160 25 300,1694.93,12674,TSP_INS
sol_optimas,299,44551.0,TABU_CICLOS 160 25 300,4237.54,54011,TSP_INS
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 25 300,872.131,54428,TSP_INS
sol_optimas,1002,501501.0,TABU_CICLOS 160 25 300,78931.6,285220,TSP_INS
sol_optimas,1002,501501.0,TABU_ESTRUCTURA 160 25 300,11319.6,287399,TSP_INS
sol_optimas,225,25200.0,TABU_CICLOS 160 25 300,2132.7,4137,TSP_INS
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 25 300,483.87,4178,TSP_INS
sol_optimas,16,120.0,TABU_CICLOS 160 25 300,12.598,6859,TSP_INS
sol_optimas,16,120.0,TABU_ESTRUCTURA 160 25 300,2.61604,6875,TSP_INS
sol_optimas,101,5050.0,TABU_CICLOS 160 25 300,341.909,653,TSP_INS
sol_optimas,101,5050.0,TABU_ESTRUCTURA 160 25 300,100.105,658,TSP_INS
sol_optimas,1084,586986.0,TABU_CICLOS 160 25 300,82588.4,262018,TSP_INS
sol_optimas,1084,586986.0,TABU_ESTRUCTURA 160 25 300,15839.3,262621,TSP_INS
sol_optimas,124,7626.0,TABU_CICLOS 160 25 300,609.602,60134,TSP_INS
sol_optimas,124,7626.0,TABU_ESTRUCTURA 160 25 300,147.295,60959,TSP_INS
sol_optimas,52,1326.0,TABU_CICLOS 160 25 300,82.1607,8004,TSP_INS
sol_optimas,52,1326.0,TABU_ESTRUCTURA 160 25 300,27.55,7968,TSP_INS
sol_optimas,198,19503.0,TABU_CICLOS 160 25 300,1553.42,16563,TSP_INS
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 25 300,391.855,16970,TSP_INS
sol_optimas,439,96141.0,TABU_CICLOS 160 25 300,10467.6,120273,TSP_INS
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 25 300,1913.93,121490,TSP_INS
sol_optimas,70,2415.0,TABU_CICLOS 160 25 300,140.433,692,TSP_INS
sol_optimas,70,2415.0,TABU_ESTRUCTURA 160 25 300,47.9846,692,TSP_INS
sol_optimas,442,97461.0,TABU_CICLOS 160 25 300,12739.0,55060,TSP_INS
sol_optimas,442,97461.0,TABU_ESTRUCTURA 160 25 300,1967.94,55582,TSP_INS
sol_optimas,96,4560.0,TABU_CICLOS 160 25 300,332.426,59180,TSP_INS
sol_optimas,96,4560.0,TABU_ESTRUCTURA 160 25 300,91.3434,58158,TSP_INS
sol_optimas,783,306153.0,TABU_CICLOS 160 25 300,51021.1,9672,TSP_INS
sol_optimas,783,306153.0,TABU_ESTRUCTURA 160 25 300,7083.57,9713,TSP_INS
sol_optimas,120,7140.0,TABU_CICLOS 160 25 300,409.123,7342,TSP_INS
sol_optimas,120,7140.0,TABU_ESTRUCTURA 160 25 300,138.287,7184,TSP_INS
sol_optimas,226,25425.0,TABU_CICLOS 160 25 300,2751.2,86156,TSP_INS
sol_optimas,226,25425.0,TABU_ESTRUCTURA 160 25 300,486.637,87897,TSP_INS
sol_optimas,400,79800.0,TABU_CICLOS 160 25 300,8216.04,16568,TSP_INS
sol_optimas,400,79800.0,TABU_ESTRUCTURA 160 25 300,1630.12,16963,TSP_INS
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,316.194,22783,TSP_INS
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,97.1416,22108,TSP_INS
sol_optimas,535,142845.0,TABU_CICLOS 160 25 300,14802.5,222273,TSP_INS
sol_optimas,535,142845.0,TABU_ESTRUCTURA 160 25 300,3128.63,222273,TSP_INS
sol_optimas,318,50403.0,TABU_CICLOS 160 25 300,5457.04,44625,TSP_INS
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 25 300,962.932,45281,TSP_INS
sol_optimas,575,165025.0,TABU_CICLOS 160 25 300,19788.7,7289,TSP_INS
sol_optimas,575,165025.0,TABU_ESTRUCTURA 160 25 300,3435.92,7353,TSP_INS
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,290.128,23708,TSP_INS
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,97.3651,22981,TSP_INS
sol_optimas,48,1128.0,TABU_CICLOS 160 25 300,65.8239,10883,TSP_INS
sol_optimas,48,1128.0,TABU_ESTRUCTURA 160 25 300,22.9227,10845,TSP_INS
sol_optimas,22,231.0,TABU_CICLOS 160 25 300,12.9911,7013,TSP_INS
sol_optimas,22,231.0,TABU_ESTRUCTURA 160 25 300,5.73281,7100,TSP_INS
sol_optimas,493,121278.0,TABU_CICLOS 160 25 300,13006.1,38212,TSP_INS
