dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,105,5460.0,TABU_ESTRUCTURA 160 25 300,108.676,52526,TSP_INS
grafo-euleriano,108,5778.0,TABU_CICLOS 160 25 300,310.108,36111,TSP_INS
grafo-euleriano,108,5778.0,TABU_ESTRUCTURA 160 25 300,114.316,36185,TSP_INS
grafo-euleriano,111,6105.0,TABU_CICLOS 160 25 300,320.933,23560,TSP_INS
grafo-euleriano,111,6105.0,TABU_ESTRUCTURA 160 25 300,118.082,23661,TSP_INS
grafo-euleriano,114,6441.0,TABU_CICLOS 160 25 300,353.354,47783,TSP_INS
grafo-euleriano,114,6441.0,TABU_ESTRUCTURA 160 25 300,124.925,47779,TSP_INS
grafo-euleriano,117,6786.0,TABU_CICLOS 160 25 300,375.421,44754,TSP_INS
grafo-euleriano,117,6786.0,TABU_ESTRUCTURA 160 25 300,131.813,44782,TSP_INS
grafo-euleriano,120,7140.0,TABU_CICLOS 160 25 300,378.969,54088,TSP_INS
grafo-euleriano,120,7140.0,TABU_ESTRUCTURA 160 25 300,140.277,54529,TSP_INS
grafo-euleriano,123,7503.0,TABU_CICLOS 160 25 300,431.302,31750,TSP_INS
grafo-euleriano,123,7503.0,TABU_ESTRUCTURA 160 25 300,147.762,31868,TSP_INS
grafo-euleriano,126,7875.0,TABU_CICLOS 160 25 300,459.727,35331,TSP_INS
grafo-euleriano,126,7875.0,TABU_ESTRUCTURA 160 25 300,151.488,35469,TSP_INS
grafo-euleriano,129,8256.0,TABU_CICLOS 160 25 300,469.754,42330,TSP_INS
grafo-euleriano,129,8256.0,TABU_ESTRUCTURA 160 25 300,161.874,42390,TSP_INS
grafo-euleriano,132,8646.0,TABU_CICLOS 160 25 300,528.302,34881,TSP_INS
grafo-euleriano,132,8646.0,TABU_ESTRUCTURA 160 25 300,170.588,35042,TSP_INS
grafo-euleriano,135,9045.0,TABU_CICLOS 160 25 300,510.916,43438,TSP_INS
grafo-euleriano,135,9045.0,TABU_ESTRUCTURA 160 25 300,175.897,43637,TSP_INS
grafo-euleriano,138,9453.0,TABU_CICLOS 160 25 300,516.117,32516,TSP_INS
grafo-euleriano,138,9453.0,TABU_ESTRUCTURA 160 25 300,183.795,32671,TSP_INS
grafo-euleriano,141,9870.0,TABU_CICLOS 160 25 300,606.519,63460,TSP_INS
grafo-euleriano,141,9870.0,TABU_ESTRUCTURA 160 25 300,190.38,63664,TSP_INS
grafo-euleriano,144,10296.0,TABU_CICLOS 160 25 300,618.694,43440,TSP_INS
grafo-euleriano,144,10296.0,TABU_ESTRUCTURA 160 25 300,197.358,43538,TSP_INS
grafo-euleriano,147,10731.0,TABU_CICLOS 160 25 300,598.961,61547,TSP_INS
grafo-euleriano,147,10731.0,TABU_ESTRUCTURA 160 25 300,205.377,61793,TSP_INS
grafo-euleriano,150,11175.0,TABU_CICLOS 160 25 300,705.626,60591,TSP_INS
grafo-euleriano,150,11175.0,TABU_ESTRUCTURA 160 25 300,214.365,60969,TSP_INS
grafo-euleriano,153,11628.0,TABU_CICLOS 160 25 300,714.984,38110,TSP_INS
grafo-euleriano,153,11628.0,TABU_ESTRUCTURA 160 25 300,220.471,38287,TSP_INS
grafo-euleriano,156,12090.0,TABU_CICLOS 160 25 300,815.841,48093,TSP_INS
grafo-euleriano,156,12090.0,TABU_ESTRUCTURA 160 25 300,230.358,48335,TSP_INS
grafo-euleriano,159,12561.0,TABU_CICLOS 160 25 300,705.857,53478,TSP_INS
grafo-euleriano,159,12561.0,TABU_ESTRUCTURA 160 25 300,239.998,53845,TSP_INS
grafo-euleriano,162,13041.0,TABU_CICLOS 160 25 300,755.633,66599,TSP_INS
