dataset,n,m,metodo,tiempo,costo,gap,tp
sol_optimas,159,12561.0,TABU_CICLOS 160 25 300,806.391,45937,9.165874524714823,TSP_INS
sol_optimas,159,12561.0,TABU_ESTRUCTURA 160 25 300,237.548,47473,12.81606463878326,TSP_INS
sol_optimas,229,26106.0,TABU_CICLOS 160 25 300,2145.79,142478,5.851324645993387,TSP_INS
sol_optimas,229,26106.0,TABU_ESTRUCTURA 160 25 300,499.792,145804,8.32231318999716,TSP_INS
sol_optimas,137,9316.0,TABU_CICLOS 160 25 300,698.097,76380,9.343907920919634,TSP_INS
sol_optimas,137,9316.0,TABU_ESTRUCTURA 160 25 300,179.901,76658,9.741886533148175,TSP_INS
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,294.675,21826,5.19061159573954,TSP_INS
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,98.2979,21638,4.284543833437752,TSP_INS
sol_optimas,130,8385.0,TABU_CICLOS 160 25 300,626.351,6383,4.468085106382972,TSP_INS
sol_optimas,130,8385.0,TABU_ESTRUCTURA 160 25 300,164.691,6501,6.399345335515534,TSP_INS
sol_optimas,136,9180.0,TABU_CICLOS 160 25 300,584.032,99249,2.5596246848261757,TSP_INS
sol_optimas,136,9180.0,TABU_ESTRUCTURA 160 25 300,177.621,101760,5.1543834993593265,TSP_INS
sol_optimas,280,39060.0,TABU_CICLOS 160 25 300,3876.19,2779,7.754943776657626,TSP_INS
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 25 300,765.195,2848,10.43039937960451,TSP_INS
sol_optimas,51,1275.0,TABU_CICLOS 160 25 300,69.8043,445,4.46009389671363,TSP_INS
sol_optimas,51,1275.0,TABU_ESTRUCTURA 160 25 300,26.5437,444,4.225352112676049,TSP_INS
sol_optimas,105,5460.0,TABU_CICLOS 160 25 300,369.802,15545,8.109047917101321,TSP_INS
sol_optimas,105,5460.0,TABU_ESTRUCTURA 160 25 300,108.186,15347,6.73203978023507,TSP_INS
sol_optimas,195,18915.0,TABU_CICLOS 160 25 300,1524.13,2556,10.030133448127415,TSP_INS
sol_optimas,195,18915.0,TABU_ESTRUCTURA 160 25 300,380.121,2592,11.579853637537667,TSP_INS
sol_optimas,262,34191.0,TABU_CICLOS 160 25 300,3130.43,2615,9.966358284272502,TSP_INS
sol_optimas,262,34191.0,TABU_ESTRUCTURA 160 25 300,697.979,2633,10.723296888141292,TSP_INS
sol_optimas,657,215496.0,TABU_CICLOS 160 25 300,19263.3,54643,11.716961072947328,TSP_INS
sol_optimas,657,215496.0,TABU_ESTRUCTURA 160 25 300,4512.22,54940,12.324174026823684,TSP_INS
sol_optimas,29,406.0,TABU_CICLOS 160 25 300,22.2043,1618,0.49689440993789447,TSP_INS
sol_optimas,29,406.0,TABU_ESTRUCTURA 160 25 300,9.37459,1643,2.0496894409938022,TSP_INS
sol_optimas,431,92665.0,TABU_CICLOS 160 25 300,7595.27,184470,7.616647415030272,TSP_INS
sol_optimas,431,92665.0,TABU_ESTRUCTURA 160 25 300,1805.99,184940,7.890837387844641,TSP_INS
sol_optimas,417,86736.0,TABU_CICLOS 160 25 300,8197.81,12569,5.969142568080258,TSP_INS
sol_optimas,417,86736.0,TABU_ESTRUCTURA 160 25 300,1697.57,12674,6.854396762498951,TSP_INS
sol_optimas,299,44551.0,TABU_CICLOS 160 25 300,4179.55,54011,12.076943827685668,TSP_INS
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 25 300,866.258,54428,12.942250627710578,TSP_INS
sol_optimas,1002,501501.0,TABU_CICLOS 160 25 300,79028.8,285220,10.104422011619604,TSP_INS
sol_optimas,1002,501501.0,TABU_ESTRUCTURA 160 25 300,11206.6,287399,10.945588604296546,TSP_INS
sol_optimas,225,25200.0,TABU_CICLOS 160 25 300,2111.99,4137,5.562643531513146,TSP_INS
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 25 300,483.746,4178,6.608828782852754,TSP_INS
sol_optimas,16,120.0,TABU_CICLOS 160 25 300,6.52115,6859,0.0,TSP_INS
sol_optimas,16,120.0,TABU_ESTRUCTURA 160 25 300,2.39058,6875,0.23327015599940637,TSP_INS
sol_optimas,101,5050.0,TABU_CICLOS 160 25 300,337.567,653,3.815580286168526,TSP_INS
sol_optimas,101,5050.0,TABU_ESTRUCTURA 160 25 300,101.397,658,4.610492845786965,TSP_INS
sol_optimas,1084,586986.0,TABU_CICLOS 160 25 300,82334.8,262018,9.494895464631824,TSP_INS
sol_optimas,1084,586986.0,TABU_ESTRUCTURA 160 25 300,15577.4,262621,9.746883579819212,TSP_INS
sol_optimas,124,7626.0,TABU_CICLOS 160 25 300,610.33,60134,1.8702354734880515,TSP_INS
sol_optimas,124,7626.0,TABU_ESTRUCTURA 160 25 300,146.794,60959,3.267829916991346,TSP_INS
sol_optimas,52,1326.0,TABU_CICLOS 160 25 300,80.8405,8004,6.12569610182976,TSP_INS
sol_optimas,52,1326.0,TABU_ESTRUCTURA 160 25 300,27.4253,7968,5.648369132856004,TSP_INS
sol_optimas,198,19503.0,TABU_CICLOS 160 25 300,1588.62,16563,4.961977186311799,TSP_INS
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 25 300,397.244,16970,7.541191381495565,TSP_INS
sol_optimas,439,96141.0,TABU_CICLOS 160 25 300,10405.7,120273,12.177173396009962,TSP_INS
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 25 300,1884.6,121490,13.312254586492813,TSP_INS
sol_optimas,70,2415.0,TABU_CICLOS 160 25 300,140.702,692,2.518518518518519,TSP_INS
sol_optimas,70,2415.0,TABU_ESTRUCTURA 160 25 300,47.9702,692,2.518518518518519,TSP_INS
sol_optimas,442,97461.0,TABU_CICLOS 160 25 300,12683.7,55060,8.432785852140682,TSP_INS
sol_optimas,442,97461.0,TABU_ESTRUCTURA 160 25 300,1910.99,55582,9.460790105951403,TSP_INS
sol_optimas,96,4560.0,TABU_CICLOS 160 25 300,332.287,59180,7.19266786212394,TSP_INS
sol_optimas,96,4560.0,TABU_ESTRUCTURA 160 25 300,91.0941,58158,5.341520404281908,TSP_INS
sol_optimas,783,306153.0,TABU_CICLOS 160 25 300,49596.2,9672,9.834203951851023,TSP_INS
sol_optimas,783,306153.0,TABU_ESTRUCTURA 160 25 300,7127.85,9713,10.299795593913231,TSP_INS
sol_optimas,120,7140.0,TABU_CICLOS 160 25 300,409.785,7342,5.762028233938338,TSP_INS
sol_optimas,120,7140.0,TABU_ESTRUCTURA 160 25 300,137.741,7184,3.486027081532697,TSP_INS
sol_optimas,226,25425.0,TABU_CICLOS 160 25 300,2722.14,86156,7.2005375206858275,TSP_INS
sol_optimas,226,25425.0,TABU_ESTRUCTURA 160 25 300,490.864,87897,9.36679565504113,TSP_INS
sol_optimas,400,79800.0,TABU_CICLOS 160 25 300,8149.42,16568,8.422223676460973,TSP_INS
sol_optimas,400,79800.0,TABU_ESTRUCTURA 160 25 300,1621.4,16963,11.007133041031338,TSP_INS
