dataset,n,m,metodo,tiempo,costo,gap
sol_optimas,96,4560.0,TABU_CICLOS,1463.7300000000002,56963,1754
sol_optimas,96,4560.0,TABU_ESTRUCTURA,1447.2233333333334,56222,1013
sol_optimas,120,7140.0,TABU_CICLOS,2596.0699999999997,7138,196
sol_optimas,120,7140.0,TABU_ESTRUCTURA,2570.1766666666667,7172,230
sol_optimas,226,25425.0,TABU_CICLOS,18357.766666666666,86054,5685
sol_optimas,226,25425.0,TABU_ESTRUCTURA,18072.43333333333,82101,1732
sol_optimas,100,4950.0,TABU_CICLOS,1625.7833333333335,21917,623
sol_optimas,100,4950.0,TABU_ESTRUCTURA,1633.0566666666666,22204,910
sol_optimas,318,50403.0,TABU_CICLOS,65129.06666666667,48090,6061
sol_optimas,318,50403.0,TABU_ESTRUCTURA,64765.96666666667,46969,4940
sol_optimas,100,4950.0,TABU_CICLOS,1621.3933333333334,22372,304
sol_optimas,100,4950.0,TABU_ESTRUCTURA,1607.86,22389,321
sol_optimas,48,1128.0,TABU_CICLOS,307.8310000000001,11058,430
sol_optimas,48,1128.0,TABU_ESTRUCTURA,303.27399999999994,11173,545
sol_optimas,22,231.0,TABU_CICLOS,62.72986666666666,7100,87
sol_optimas,22,231.0,TABU_ESTRUCTURA,61.029500000000006,7013,0
sol_optimas,100,4950.0,TABU_CICLOS,1603.0233333333333,7913,3
sol_optimas,100,4950.0,TABU_ESTRUCTURA,1604.7766666666666,7967,57
