dataset,n,m,metodo,tiempo,costo
grafo-propio,37,666.0,TABU_CICLOS 160 30 300,71.15643333333333,281
grafo-propio,37,666.0,TABU_ESTRUCTURA 80 10 200,17.665266666666668,281
grafo-propio,38,703.0,TABU_CICLOS 160 30 300,74.09953333333334,323
grafo-propio,38,703.0,TABU_ESTRUCTURA 80 10 200,20.424266666666668,382
grafo-propio,39,741.0,TABU_CICLOS 160 30 300,73.35846666666667,328
grafo-propio,39,741.0,TABU_ESTRUCTURA 80 10 200,21.25476666666667,328
grafo-propio,40,780.0,TABU_CICLOS 160 30 300,78.95703333333333,207
grafo-propio,40,780.0,TABU_ESTRUCTURA 80 10 200,22.898733333333336,234
grafo-propio,41,820.0,TABU_CICLOS 160 30 300,80.11833333333333,240
grafo-propio,41,820.0,TABU_ESTRUCTURA 80 10 200,23.569799999999997,364
grafo-propio,42,861.0,TABU_CICLOS 160 30 300,84.6583,278
grafo-propio,42,861.0,TABU_ESTRUCTURA 80 10 200,24.012366666666665,262
grafo-propio,43,903.0,TABU_CICLOS 160 30 300,88.8917,250
grafo-propio,43,903.0,TABU_ESTRUCTURA 80 10 200,26.654533333333333,229
grafo-propio,44,946.0,TABU_CICLOS 160 30 300,97.02903333333332,397
grafo-propio,44,946.0,TABU_ESTRUCTURA 80 10 200,27.60366666666667,401
grafo-propio,45,990.0,TABU_CICLOS 160 30 300,94.24163333333333,192
grafo-propio,45,990.0,TABU_ESTRUCTURA 80 10 200,28.68433333333333,266
grafo-propio,46,1035.0,TABU_CICLOS 160 30 300,100.53306666666667,279
grafo-propio,46,1035.0,TABU_ESTRUCTURA 80 10 200,29.687833333333334,279
grafo-propio,47,1081.0,TABU_CICLOS 160 30 300,105.0906,238
grafo-propio,47,1081.0,TABU_ESTRUCTURA 80 10 200,33.530300000000004,267
grafo-propio,48,1128.0,TABU_CICLOS 160 30 300,114.01066666666668,220
grafo-propio,48,1128.0,TABU_ESTRUCTURA 80 10 200,34.143966666666664,241
grafo-propio,49,1176.0,TABU_CICLOS 160 30 300,124.872,208
grafo-propio,49,1176.0,TABU_ESTRUCTURA 80 10 200,31.031533333333332,266
grafo-propio,50,1225.0,TABU_CICLOS 160 30 300,120.96933333333334,287
grafo-propio,50,1225.0,TABU_ESTRUCTURA 80 10 200,38.88186666666667,301
grafo-propio,51,1275.0,TABU_CICLOS 160 30 300,128.032,200
grafo-propio,51,1275.0,TABU_ESTRUCTURA 80 10 200,39.8502,217
grafo-propio,52,1326.0,TABU_CICLOS 160 30 300,135.93766666666667,273
grafo-propio,52,1326.0,TABU_ESTRUCTURA 80 10 200,39.66583333333333,294
grafo-propio,53,1378.0,TABU_CICLOS 160 30 300,136.941,302
grafo-propio,53,1378.0,TABU_ESTRUCTURA 80 10 200,42.090266666666665,324
grafo-propio,54,1431.0,TABU_CICLOS 160 30 300,144.484,252
grafo-propio,54,1431.0,TABU_ESTRUCTURA 80 10 200,43.255500000000005,252
grafo-propio,55,1485.0,TABU_CICLOS 160 30 300,145.77466666666666,251
grafo-propio,55,1485.0,TABU_ESTRUCTURA 80 10 200,43.340133333333334,271
grafo-propio,56,1540.0,TABU_CICLOS 160 30 300,168.21966666666665,308
grafo-propio,56,1540.0,TABU_ESTRUCTURA 80 10 200,45.775133333333336,322
grafo-propio,57,1596.0,TABU_CICLOS 160 30 300,160.95766666666665,290
grafo-propio,57,1596.0,TABU_ESTRUCTURA 80 10 200,45.58950000000001,307
grafo-propio,58,1653.0,TABU_CICLOS 160 30 300,161.457,251
grafo-propio,58,1653.0,TABU_ESTRUCTURA 80 10 200,52.166333333333334,233
grafo-propio,59,1711.0,TABU_CICLOS 160 30 300,189.47333333333336,330
grafo-propio,59,1711.0,TABU_ESTRUCTURA 80 10 200,50.64823333333334,331
grafo-propio,60,1770.0,TABU_CICLOS 160 30 300,195.68399999999997,314
grafo-propio,60,1770.0,TABU_ESTRUCTURA 80 10 200,54.2601,413
grafo-propio,61,1830.0,TABU_CICLOS 160 30 300,217.79100000000003,227
grafo-propio,61,1830.0,TABU_ESTRUCTURA 80 10 200,51.9552,251
grafo-propio,62,1891.0,TABU_CICLOS 160 30 300,198.97266666666667,253
grafo-propio,62,1891.0,TABU_ESTRUCTURA 80 10 200,53.29776666666667,276
grafo-propio,63,1953.0,TABU_CICLOS 160 30 300,203.229,351
grafo-propio,63,1953.0,TABU_ESTRUCTURA 80 10 200,55.32686666666666,386
grafo-propio,64,2016.0,TABU_CICLOS 160 30 300,220.99933333333334,389
grafo-propio,64,2016.0,TABU_ESTRUCTURA 80 10 200,60.59133333333333,367
grafo-propio,65,2080.0,TABU_CICLOS 160 30 300,220.64266666666666,239
grafo-propio,65,2080.0,TABU_ESTRUCTURA 80 10 200,58.023833333333336,231
grafo-propio,66,2145.0,TABU_CICLOS 160 30 300,220.94966666666667,314
grafo-propio,66,2145.0,TABU_ESTRUCTURA 80 10 200,61.718466666666664,319
grafo-propio,67,2211.0,TABU_CICLOS 160 30 300,236.10366666666667,245
grafo-propio,67,2211.0,TABU_ESTRUCTURA 80 10 200,67.68403333333333,242
grafo-propio,68,2278.0,TABU_CICLOS 160 30 300,262.3486666666667,341
grafo-propio,68,2278.0,TABU_ESTRUCTURA 80 10 200,68.8287,317
grafo-propio,69,2346.0,TABU_CICLOS 160 30 300,259.292,249
grafo-propio,69,2346.0,TABU_ESTRUCTURA 80 10 200,72.8008,234
grafo-propio,70,2415.0,TABU_CICLOS 160 30 300,262.7066666666667,261
grafo-propio,70,2415.0,TABU_ESTRUCTURA 80 10 200,68.74263333333333,281
grafo-propio,71,2485.0,TABU_CICLOS 160 30 300,285.0453333333333,258
grafo-propio,71,2485.0,TABU_ESTRUCTURA 80 10 200,73.12873333333334,292
grafo-propio,72,2556.0,TABU_CICLOS 160 30 300,286.05699999999996,229
grafo-propio,72,2556.0,TABU_ESTRUCTURA 80 10 200,76.49193333333334,252
grafo-propio,73,2628.0,TABU_CICLOS 160 30 300,301.11999999999995,285
grafo-propio,73,2628.0,TABU_ESTRUCTURA 80 10 200,78.1048,326
grafo-propio,74,2701.0,TABU_CICLOS 160 30 300,304.56533333333334,264
grafo-propio,74,2701.0,TABU_ESTRUCTURA 80 10 200,81.90223333333333,303
grafo-propio,75,2775.0,TABU_CICLOS 160 30 300,309.15766666666667,226
grafo-propio,75,2775.0,TABU_ESTRUCTURA 80 10 200,83.4644,252
grafo-propio,76,2850.0,TABU_CICLOS 160 30 300,328.48333333333335,283
grafo-propio,76,2850.0,TABU_ESTRUCTURA 80 10 200,85.2779,285
grafo-propio,77,2926.0,TABU_CICLOS 160 30 300,339.72166666666664,256
grafo-propio,77,2926.0,TABU_ESTRUCTURA 80 10 200,90.26656666666666,329
grafo-propio,78,3003.0,TABU_CICLOS 160 30 300,342.3283333333333,258
grafo-propio,78,3003.0,TABU_ESTRUCTURA 80 10 200,94.42706666666668,309
