dataset,n,m,metodo,tiempo,costo,gap
sol_optimas,1432,1024596.0,INS,3685.763333333334,173256,13.261423808589925
sol_optimas,1432,1024596.0,AGM,77.7549,218883,43.08884094920572
sol_optimas,1432,1024596.0,GA,16095.133333333333,182713,19.44368176766686
sol_optimas,666,221445.0,INS,265.63866666666667,345738,17.454935826442636
sol_optimas,666,221445.0,AGM,17.808366666666668,399767,35.80979623451714
sol_optimas,666,221445.0,GA,1856.4099999999999,339319,15.274257876463352
sol_optimas,1304,849556.0,INS,4218.926666666667,314475,24.323971725413912
sol_optimas,1304,849556.0,AGM,70.73773333333334,349794,38.286920631908515
sol_optimas,1304,849556.0,GA,12718.966666666667,300165,18.666682480193558
sol_optimas,107,5671.0,INS,2.25941,51051,15.231474166535008
sol_optimas,107,5671.0,AGM,0.663409,53985,21.85405051576643
sol_optimas,107,5671.0,GA,18.303033333333335,47180,6.493916890504025
sol_optimas,99,4851.0,INS,2.58103,1386,14.450867052023114
sol_optimas,99,4851.0,AGM,0.4350596666666666,1749,44.4260941370768
sol_optimas,99,4851.0,GA,11.18106,1429,18.001651527663086
sol_optimas,2103,2210253.0,INS,11500.433333333334,88340,10.491294776866127
sol_optimas,2103,2210253.0,AGM,160.11266666666666,128235,60.38998399039423
sol_optimas,2103,2210253.0,GA,42142.56666666667,91461,14.394886932159295
sol_optimas,200,19900.0,INS,19.498033333333336,33595,14.393217107055307
sol_optimas,200,19900.0,AGM,2.53247,40357,37.418278398256604
sol_optimas,200,19900.0,GA,68.0403,34601,17.81871424679923
sol_optimas,1323,874503.0,INS,4281.306666666666,339228,25.54746686701283
sol_optimas,1323,874503.0,AGM,73.64473333333332,375206,38.862838130415014
sol_optimas,1323,874503.0,GA,16067.766666666668,312091,15.504128438669284
sol_optimas,654,213531.0,INS,246.99533333333332,39439,13.844066622405677
sol_optimas,654,213531.0,AGM,13.113666666666667,47647,37.53716479519673
sol_optimas,654,213531.0,GA,1501.6266666666668,39490,13.99128251017521
sol_optimas,574,164451.0,INS,179.52200000000002,44020,19.279230456577693
sol_optimas,574,164451.0,AGM,11.495600000000001,49461,34.02249017748272
sol_optimas,574,164451.0,GA,1446.9000000000003,47278,28.10730253353205
sol_optimas,152,11476.0,INS,5.195673333333333,88370,19.93431231508373
sol_optimas,152,11476.0,AGM,1.4502266666666666,82374,11.796639613474127
sol_optimas,152,11476.0,GA,36.61546666666666,84703,14.957520154176066
sol_optimas,127,8001.0,INS,3.510123333333333,138353,16.968769550734677
sol_optimas,127,8001.0,AGM,1.1453256666666667,158679,34.15312558123807
sol_optimas,127,8001.0,GA,31.3513,134998,14.132327826719205
sol_optimas,1173,687378.0,INS,1867.2466666666667,69004,21.28946073261619
sol_optimas,1173,687378.0,AGM,48.53236666666667,80375,41.276453631442024
sol_optimas,1173,687378.0,GA,8948.640000000001,67147,18.025381424453357
sol_optimas,29,406.0,INS,0.07591966666666666,2148,6.336633663366342
sol_optimas,29,406.0,AGM,0.07561866666666667,2370,17.326732673267315
sol_optimas,29,406.0,GA,1.1559863333333336,2480,22.772277227722768
sol_optimas,1060,561270.0,INS,1227.9566666666667,270719,20.806001053129492
sol_optimas,1060,561270.0,AGM,45.98493333333332,305840,36.47844208234045
sol_optimas,1060,561270.0,GA,9720.019999999999,276304,23.298258766410513
sol_optimas,76,2850.0,INS,0.7183466666666667,121838,12.647121367616194
sol_optimas,76,2850.0,AGM,0.3063923333333333,140629,30.020617794173404
sol_optimas,76,2850.0,GA,11.097843333333332,140349,29.76173966105455
sol_optimas,1577,1242676.0,INS,4268.57,26517,19.42442803098541
sol_optimas,1577,1242676.0,AGM,85.06923333333334,31751,42.996757341019645
sol_optimas,1577,1242676.0,GA,18844.966666666664,25136,13.20482795892633
sol_optimas,100,4950.0,INS,1.7370433333333335,25476,15.062553633530555
sol_optimas,100,4950.0,AGM,0.8264413333333334,25885,16.909805338512257
sol_optimas,100,4950.0,GA,18.689533333333333,25813,16.584616774310106
sol_optimas,2152,2314476.0,INS,13256.4,75910,18.14234354816118
sol_optimas,2152,2314476.0,AGM,162.0343333333333,93660,45.76751280095871
sol_optimas,2152,2314476.0,GA,62704.6,74690,16.243599520644963
sol_optimas,150,11175.0,INS,6.298573333333334,7848,20.220588235294116
sol_optimas,150,11175.0,AGM,1.5242766666666665,8330,27.60416666666667
sol_optimas,150,11175.0,GA,35.18783333333333,7742,18.596813725490208
sol_optimas,264,34716.0,INS,21.029933333333336,57901,17.840643126081204
sol_optimas,264,34716.0,AGM,3.6942099999999995,66184,34.698280248295504
sol_optimas,264,34716.0,GA,93.56236666666666,56689,15.373969675384132
sol_optimas,202,20301.0,INS,12.011276666666665,46480,15.737051792828694
sol_optimas,202,20301.0,AGM,2.3437233333333336,51990,29.457171314741032
sol_optimas,202,20301.0,GA,73.30186666666667,45926,14.357569721115553
sol_optimas,532,141246.0,INS,210.7586666666667,32547,17.557610344578478
sol_optimas,532,141246.0,AGM,11.917833333333334,37538,35.58477208697536
sol_optimas,532,141246.0,GA,1026.6966666666665,34916,26.11428158636133
sol_optimas,42,861.0,INS,0.21590466666666663,777,11.158798283261802
sol_optimas,42,861.0,AGM,0.11530133333333333,909,30.04291845493563
sol_optimas,42,861.0,GA,1.3965366666666668,1003,43.49070100143061
sol_optimas,150,11175.0,INS,9.143813333333334,30517,16.78913126674321
sol_optimas,150,11175.0,AGM,1.82289,36150,38.34672789896672
sol_optimas,150,11175.0,GA,39.7235,31427,20.271718331419834
sol_optimas,76,2850.0,INS,0.766034,597,10.966542750929364
sol_optimas,76,2850.0,AGM,0.31237033333333336,676,25.65055762081785
sol_optimas,76,2850.0,GA,7.235823333333333,583,8.364312267657994
sol_optimas,225,25200.0,INS,18.755266666666667,172635,36.31625909051428
sol_optimas,225,25200.0,AGM,2.35131,190742,50.61393049754034
sol_optimas,225,25200.0,GA,58.84233333333333,140835,11.206304335810117
sol_optimas,200,19900.0,INS,18.7417,34431,16.96504399225465
sol_optimas,200,19900.0,AGM,2.484116666666667,40703,38.271562998946905
