dataset,n,m,metodo,tiempo,costo
peor-caso-ga,37,666.0,GA,0.847,1000036
peor-caso-ga,38,703.0,INS,0.0852,40
peor-caso-ga,38,703.0,AGM,0.1018,1000037
peor-caso-ga,38,703.0,GA,0.9439,1000037
peor-caso-ga,39,741.0,INS,0.0852,41
peor-caso-ga,39,741.0,AGM,0.1089,1000038
peor-caso-ga,39,741.0,GA,1.2473,1000038
peor-caso-ga,40,780.0,INS,0.0848,42
peor-caso-ga,40,780.0,AGM,0.109,1000039
peor-caso-ga,40,780.0,GA,0.8922,1000039
peor-caso-ga,41,820.0,INS,0.091,43
peor-caso-ga,41,820.0,AGM,0.0905,1000040
peor-caso-ga,41,820.0,GA,1.5937,1000040
peor-caso-ga,42,861.0,INS,0.0985,44
peor-caso-ga,42,861.0,AGM,0.1632,1000041
peor-caso-ga,42,861.0,GA,1.0855,1000041
peor-caso-ga,43,903.0,INS,0.2323,45
peor-caso-ga,43,903.0,AGM,0.0985,1000042
peor-caso-ga,43,903.0,GA,0.8673,1000042
peor-caso-ga,44,946.0,INS,0.0978,46
peor-caso-ga,44,946.0,AGM,0.101,1000043
peor-caso-ga,44,946.0,GA,0.9212,1000043
peor-caso-ga,45,990.0,INS,0.104,47
peor-caso-ga,45,990.0,AGM,0.1103,1000044
peor-caso-ga,45,990.0,GA,1.0001,1000044
peor-caso-ga,46,1035.0,INS,0.1109,48
peor-caso-ga,46,1035.0,AGM,0.1251,1000045
peor-caso-ga,46,1035.0,GA,1.3681,1000045
peor-caso-ga,47,1081.0,INS,0.142,49
peor-caso-ga,47,1081.0,AGM,0.1356,1000046
peor-caso-ga,47,1081.0,GA,1.2419,1000046
peor-caso-ga,48,1128.0,INS,0.1226,50
peor-caso-ga,48,1128.0,AGM,0.1477,1000047
peor-caso-ga,48,1128.0,GA,1.2974,1000047
peor-caso-ga,49,1176.0,INS,0.1504,51
peor-caso-ga,49,1176.0,AGM,0.1356,1000048
peor-caso-ga,49,1176.0,GA,1.2787,1000048
peor-caso-ga,50,1225.0,INS,0.1489,52
peor-caso-ga,50,1225.0,AGM,0.4,1000049
peor-caso-ga,50,1225.0,GA,3.8458,1000049
peor-caso-ga,51,1275.0,INS,0.1449,53
peor-caso-ga,51,1275.0,AGM,0.1765,1000050
peor-caso-ga,51,1275.0,GA,3.4098,1000050
peor-caso-ga,52,1326.0,INS,0.1416,54
peor-caso-ga,52,1326.0,AGM,0.1716,1000051
peor-caso-ga,52,1326.0,GA,3.4109,1000051
peor-caso-ga,53,1378.0,INS,0.1507,55
peor-caso-ga,53,1378.0,AGM,0.2421,1000052
peor-caso-ga,53,1378.0,GA,1.4874,1000052
peor-caso-ga,54,1431.0,INS,0.156,56
peor-caso-ga,54,1431.0,AGM,0.1868,1000053
peor-caso-ga,54,1431.0,GA,1.7517,1000053
peor-caso-ga,55,1485.0,INS,0.1986,57
peor-caso-ga,55,1485.0,AGM,0.176,1000054
peor-caso-ga,55,1485.0,GA,1.6142,1000054
peor-caso-ga,56,1540.0,INS,0.1835,58
peor-caso-ga,56,1540.0,AGM,0.1744,1000055
peor-caso-ga,56,1540.0,GA,2.3318,1000055
peor-caso-ga,57,1596.0,INS,0.1798,59
peor-caso-ga,57,1596.0,AGM,0.1607,1000056
peor-caso-ga,57,1596.0,GA,1.8137,1000056
peor-caso-ga,58,1653.0,INS,0.2025,60
peor-caso-ga,58,1653.0,AGM,0.1994,1000057
peor-caso-ga,58,1653.0,GA,1.7662,1000057
peor-caso-ga,59,1711.0,INS,0.188,61
peor-caso-ga,59,1711.0,AGM,0.1733,1000058
peor-caso-ga,59,1711.0,GA,1.8535,1000058
peor-caso-ga,60,1770.0,INS,0.3446,62
peor-caso-ga,60,1770.0,AGM,0.1805,1000059
peor-caso-ga,60,1770.0,GA,2.9815,1000059
peor-caso-ga,61,1830.0,INS,0.2046,63
peor-caso-ga,61,1830.0,AGM,0.1781,1000060
peor-caso-ga,61,1830.0,GA,3.1124,1000060
peor-caso-ga,62,1891.0,INS,0.2151,64
peor-caso-ga,62,1891.0,AGM,0.9735,1000061
peor-caso-ga,62,1891.0,GA,2.1336,1000061
peor-caso-ga,63,1953.0,INS,0.2735,65
peor-caso-ga,63,1953.0,AGM,0.1802,1000062
peor-caso-ga,63,1953.0,GA,5.848,1000062
peor-caso-ga,64,2016.0,INS,0.2297,66
peor-caso-ga,64,2016.0,AGM,0.183,1000063
peor-caso-ga,64,2016.0,GA,5.1881,1000063
peor-caso-ga,65,2080.0,INS,0.2318,67
peor-caso-ga,65,2080.0,AGM,0.2422,1000064
peor-caso-ga,65,2080.0,GA,2.6621,1000064
peor-caso-ga,66,2145.0,INS,0.2476,68
peor-caso-ga,66,2145.0,AGM,0.1892,1000065
peor-caso-ga,66,2145.0,GA,5.3518,1000065
peor-caso-ga,67,2211.0,INS,0.3307,69
peor-caso-ga,67,2211.0,AGM,0.1838,1000066
peor-caso-ga,67,2211.0,GA,2.482,1000066
peor-caso-ga,68,2278.0,INS,0.2625,70
