dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,105,5460.0,TABU_CICLOS 160 25 300,337.619,52408,TSP_AGM
grafo-euleriano,105,5460.0,TABU_ESTRUCTURA 160 25 300,123.506,52312,TSP_AGM
grafo-euleriano,108,5778.0,TABU_CICLOS 160 25 300,385.635,36034,TSP_AGM
grafo-euleriano,108,5778.0,TABU_ESTRUCTURA 160 25 300,134.745,36027,TSP_AGM
grafo-euleriano,111,6105.0,TABU_CICLOS 160 25 300,377.772,23529,TSP_AGM
grafo-euleriano,111,6105.0,TABU_ESTRUCTURA 160 25 300,139.593,23557,TSP_AGM
grafo-euleriano,114,6441.0,TABU_CICLOS 160 25 300,388.104,47632,TSP_AGM
grafo-euleriano,114,6441.0,TABU_ESTRUCTURA 160 25 300,141.127,47766,TSP_AGM
grafo-euleriano,117,6786.0,TABU_CICLOS 160 25 300,422.548,44657,TSP_AGM
grafo-euleriano,117,6786.0,TABU_ESTRUCTURA 160 25 300,142.987,44787,TSP_AGM
grafo-euleriano,120,7140.0,TABU_CICLOS 160 25 300,442.548,54166,TSP_AGM
grafo-euleriano,120,7140.0,TABU_ESTRUCTURA 160 25 300,157.252,54077,TSP_AGM
grafo-euleriano,123,7503.0,TABU_CICLOS 160 25 300,470.322,31621,TSP_AGM
grafo-euleriano,123,7503.0,TABU_ESTRUCTURA 160 25 300,160.988,31705,TSP_AGM
grafo-euleriano,126,7875.0,TABU_CICLOS 160 25 300,519.512,35341,TSP_AGM
grafo-euleriano,126,7875.0,TABU_ESTRUCTURA 160 25 300,161.779,35363,TSP_AGM
grafo-euleriano,129,8256.0,TABU_CICLOS 160 25 300,533.792,42202,TSP_AGM
grafo-euleriano,129,8256.0,TABU_ESTRUCTURA 160 25 300,184.672,42251,TSP_AGM
grafo-euleriano,132,8646.0,TABU_CICLOS 160 25 300,587.7,34795,TSP_AGM
grafo-euleriano,132,8646.0,TABU_ESTRUCTURA 160 25 300,205.477,34920,TSP_AGM
grafo-euleriano,135,9045.0,TABU_CICLOS 160 25 300,651.963,43381,TSP_AGM
grafo-euleriano,135,9045.0,TABU_ESTRUCTURA 160 25 300,199.984,43496,TSP_AGM
grafo-euleriano,138,9453.0,TABU_CICLOS 160 25 300,684.592,32359,TSP_AGM
grafo-euleriano,138,9453.0,TABU_ESTRUCTURA 160 25 300,199.9,32417,TSP_AGM
grafo-euleriano,141,9870.0,TABU_CICLOS 160 25 300,665.213,63275,TSP_AGM
grafo-euleriano,141,9870.0,TABU_ESTRUCTURA 160 25 300,219.052,63470,TSP_AGM
grafo-euleriano,144,10296.0,TABU_CICLOS 160 25 300,945.358,43242,TSP_AGM
grafo-euleriano,144,10296.0,TABU_ESTRUCTURA 160 25 300,270.195,43365,TSP_AGM
grafo-euleriano,147,10731.0,TABU_CICLOS 160 25 300,834.718,61355,TSP_AGM
