dataset,n,m,metodo,tiempo,costo,gap,tp
sol_optimas,14,91.0,TABU_ESTRUCTURA 160 25 300,3.41462,3323,0.0,TSP_AGM
sol_optimas,159,12561.0,TABU_CICLOS 160 25 300,1348.76,43751,3.971007604562743,TSP_AGM
sol_optimas,159,12561.0,TABU_ESTRUCTURA 160 25 300,316.619,44135,4.883555133079852,TSP_AGM
sol_optimas,229,26106.0,TABU_CICLOS 160 25 300,2797.53,141663,5.245835871680953,TSP_AGM
sol_optimas,229,26106.0,TABU_ESTRUCTURA 160 25 300,625.764,141732,5.297098111469367,TSP_AGM
sol_optimas,137,9316.0,TABU_CICLOS 160 25 300,1115.27,75438,7.995361688116475,TSP_AGM
sol_optimas,137,9316.0,TABU_ESTRUCTURA 160 25 300,338.948,75438,7.995361688116475,TSP_AGM
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,584.646,21735,4.752036242710503,TSP_AGM
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,153.826,21730,4.727938695840763,TSP_AGM
sol_optimas,130,8385.0,TABU_CICLOS 160 25 300,1107.73,6537,6.988543371522098,TSP_AGM
sol_optimas,130,8385.0,TABU_ESTRUCTURA 160 25 300,239.111,6604,8.085106382978722,TSP_AGM
sol_optimas,136,9180.0,TABU_CICLOS 160 25 300,1011.35,100778,4.139627164882413,TSP_AGM
sol_optimas,136,9180.0,TABU_ESTRUCTURA 160 25 300,261.431,101845,5.242218823626672,TSP_AGM
sol_optimas,280,39060.0,TABU_CICLOS 160 25 300,4819.09,2770,7.4059713067080395,TSP_AGM
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 25 300,717.903,2789,8.142690965490502,TSP_AGM
sol_optimas,51,1275.0,TABU_CICLOS 160 25 300,90.7285,438,2.816901408450704,TSP_AGM
sol_optimas,51,1275.0,TABU_ESTRUCTURA 160 25 300,42.3841,440,3.2863849765258237,TSP_AGM
sol_optimas,105,5460.0,TABU_CICLOS 160 25 300,468.559,15168,5.487168787815563,TSP_AGM
sol_optimas,105,5460.0,TABU_ESTRUCTURA 160 25 300,131.128,15182,5.584532999513186,TSP_AGM
sol_optimas,195,18915.0,TABU_CICLOS 160 25 300,1740.12,2445,5.251829530779162,TSP_AGM
sol_optimas,195,18915.0,TABU_ESTRUCTURA 160 25 300,389.763,2474,6.500215238915203,TSP_AGM
sol_optimas,262,34191.0,TABU_CICLOS 160 25 300,3731.82,2527,6.265769554247271,TSP_AGM
sol_optimas,262,34191.0,TABU_ESTRUCTURA 160 25 300,816.609,2530,6.391925988225395,TSP_AGM
